,Time,Power cooling,Pcooling,Ti,To,Condensator,Tr,Airflow,Pserver
11798,2019-07-23T09:51:02+02:00,258.0,0.0,15.9,22.6,4.0,23.87,665.0,3738.0
11799,2019-07-23T09:51:03+02:00,258.0,0.0,15.9,22.6,4.0,23.87,,3781.0
11800,2019-07-23T09:51:04+02:00,258.0,0.0,16.0,22.6,4.0,23.87,665.0,3755.0
11801,2019-07-23T09:51:05+02:00,256.0,0.0,,22.6,4.0,23.87,665.0,3757.0
11802,2019-07-23T09:51:06+02:00,257.0,,16.2,22.5,4.0,23.87,676.8,3813.0
11803,2019-07-23T09:51:07+02:00,257.0,0.0,16.2,22.6,4.0,23.87,676.8,3801.0
11804,2019-07-23T09:51:08+02:00,257.0,0.0,16.3,,4.0,23.87,676.8,3834.0
11805,2019-07-23T09:51:09+02:00,257.0,0.0,16.3,22.6,4.0,23.87,676.8,3875.0
11806,2019-07-23T09:51:10+02:00,257.0,0.0,16.4,22.6,4.0,23.87,,3795.0
11807,2019-07-23T09:51:11+02:00,257.0,0.0,16.5,22.6,4.0,23.87,676.8,3784.0
11808,2019-07-23T09:51:12+02:00,257.0,0.0,,22.6,4.0,23.87,676.8,3821.0
11809,2019-07-23T09:51:13+02:00,256.0,0.0,16.7,22.6,4.0,23.87,676.8,3835.0
11810,2019-07-23T09:51:14+02:00,257.0,,16.7,22.6,4.0,23.75,676.8,3833.0
11811,2019-07-23T09:51:15+02:00,257.0,0.0,16.8,,4.0,23.87,676.8,3809.0
11812,2019-07-23T09:51:16+02:00,256.0,0.0,16.8,22.6,4.0,23.87,676.8,3824.0
11813,2019-07-23T09:51:17+02:00,257.0,0.0,16.9,22.6,4.0,23.87,676.8,3821.0
11814,2019-07-23T09:51:18+02:00,256.0,0.0,16.9,22.6,4.0,23.87,,3836.0
11815,2019-07-23T09:51:19+02:00,257.0,0.0,,22.6,4.0,23.87,676.8,3816.0
11816,2019-07-23T09:51:20+02:00,256.0,0.0,17.1,22.6,4.0,23.87,676.8,3762.0
11817,2019-07-23T09:51:21+02:00,257.0,,17.1,22.6,4.0,23.87,676.8,3779.0
11818,2019-07-23T09:51:22+02:00,256.0,0.0,17.1,,4.0,23.87,676.8,3802.0
11819,2019-07-23T09:51:23+02:00,257.0,0.0,17.2,22.6,4.0,23.87,676.8,3838.0
11820,2019-07-23T09:51:24+02:00,257.0,0.0,17.3,22.6,4.0,23.87,676.8,3808.0
11821,2019-07-23T09:51:25+02:00,257.0,0.0,17.4,22.6,4.0,23.87,,3737.0
11822,2019-07-23T09:51:26+02:00,256.0,0.0,,22.7,4.0,23.87,676.8,3810.0
11823,2019-07-23T09:51:27+02:00,256.0,0.0,17.5,22.7,4.0,23.87,676.8,3846.0
11824,2019-07-23T09:51:28+02:00,257.0,,17.6,22.7,4.0,23.87,676.8,3752.0
11825,2019-07-23T09:51:29+02:00,256.0,0.0,17.6,22.7,4.0,23.87,676.8,3776.0
11826,2019-07-23T09:51:30+02:00,256.0,0.0,17.7,,4.0,23.87,676.8,3821.0
11827,2019-07-23T09:51:31+02:00,256.0,0.0,17.7,22.7,4.0,23.87,676.8,3853.0
11828,2019-07-23T09:51:32+02:00,256.0,0.0,17.8,22.7,4.0,23.87,,
11829,2019-07-23T09:51:33+02:00,257.0,0.0,,22.7,4.0,23.87,676.8,3835.0
11830,2019-07-23T09:51:34+02:00,256.0,0.0,17.9,22.7,4.0,23.87,676.8,3860.0
11831,2019-07-23T09:51:35+02:00,257.0,,17.9,22.7,4.0,23.87,676.8,3790.0
11832,2019-07-23T09:51:36+02:00,257.0,0.0,18.0,,4.0,23.87,676.8,3762.0
11833,2019-07-23T09:51:37+02:00,256.0,0.0,18.1,22.8,4.0,23.87,688.6,3818.0
11834,2019-07-23T09:51:38+02:00,256.0,0.0,18.2,22.7,4.0,23.87,688.6,3820.0
11835,2019-07-23T09:51:39+02:00,256.0,0.0,18.2,22.7,4.0,23.87,,3903.0
11836,2019-07-23T09:51:40+02:00,256.0,0.0,18.3,22.7,4.0,23.87,688.6,3792.0
11837,2019-07-23T09:51:41+02:00,256.0,0.0,,22.7,4.0,23.87,688.6,3730.0
11838,2019-07-23T09:51:42+02:00,257.0,,18.3,22.8,4.0,23.87,688.6,3774.0
11839,2019-07-23T09:51:43+02:00,256.0,0.0,18.4,22.8,4.0,23.87,688.6,3776.0
11840,2019-07-23T09:51:44+02:00,256.0,0.0,18.5,,4.0,23.87,688.6,3830.0
