,Time,Power cooling,Pcooling,Ti,To,Condensator,Tr,Airflow,Pserver
8901,2019-07-17T00:19:43+02:00,4469,23300,12.1,20.5,4,23.5,676.8,1739
8902,2019-07-17T00:19:44+02:00,4486,23300,12.1,20.5,4,23.5,676.8,1806
8903,2019-07-17T00:19:45+02:00,4521,23300,12.1,20.5,4,23.5,,1759
8904,2019-07-17T00:19:46+02:00,4555,23300,12.1,20.4,149,23.5,676.8,1744
8905,2019-07-17T00:19:47+02:00,4583,,12,,345,23.5,676.8,1772
8906,2019-07-17T00:19:48+02:00,4608,23300,11.9,20.5,373,23.5,676.8,
8907,2019-07-17T00:19:49+02:00,4631,23300,11.9,20.4,393,23.5,665,1692
8908,2019-07-17T00:19:50+02:00,4649,23300,,20.4,401,23.5,665,1741
8909,2019-07-17T00:19:51+02:00,4659,23300,11.9,20.4,396,23.5,665,1752
8910,2019-07-17T00:19:52+02:00,4661,22100,11.9,20.4,371,23.5,,1750
8911,2019-07-17T00:19:53+02:00,4644,22100,11.9,20.4,293,23.5,665,1727
8912,2019-07-17T00:19:54+02:00,4628,20600,11.9,,4,23.5,665,1780
8913,2019-07-17T00:19:55+02:00,4608,,11.9,20.4,4,23.5,665,1711
8914,2019-07-17T00:19:56+02:00,4598,20600,,20.5,4,23.5,665,1678
8915,2019-07-17T00:19:57+02:00,2784,18500,11.8,20.5,4,23.5,665,1649
8916,2019-07-17T00:19:58+02:00,135,0,11.9,20.4,4,23.5,665,1696
8917,2019-07-17T00:19:59+02:00,133,0,11.9,20.4,,23.5,665,1749
8918,2019-07-17T00:20:00+02:00,133,0,11.9,20.4,4,23.5,,1703
8919,2019-07-17T00:20:01+02:00,131,0,11.9,,4,23.5,676.8,1762
8920,2019-07-17T00:20:02+02:00,167,,11.9,20.4,4,23.5,676.8,1747
8921,2019-07-17T00:20:03+02:00,271,0,11.9,20.4,4,23.5,676.8,1765
8922,2019-07-17T00:20:04+02:00,272,0,,20.4,4,23.5,676.8,1753
8923,2019-07-17T00:20:05+02:00,271,0,12,20.4,4,23.5,676.8,1763
8924,2019-07-17T00:20:06+02:00,271,0,12.1,20.4,4,23.5,676.8,1740
8925,2019-07-17T00:20:07+02:00,271,0,12.1,20.4,4,23.5,,1768
8926,2019-07-17T00:20:08+02:00,271,0,12.2,,4,23.5,676.8,1773
8927,2019-07-17T00:20:09+02:00,271,,12.2,20.4,4,23.5,688.6,1767
8928,2019-07-17T00:20:10+02:00,271,0,12.3,20.3,4,23.5,688.6,1780
8929,2019-07-17T00:20:11+02:00,271,0,,20.3,4,23.5,688.6,1756
8930,2019-07-17T00:20:12+02:00,271,0,12.4,20.3,4,23.5,688.6,1710
8931,2019-07-17T00:20:13+02:00,271,0,12.4,20.3,4,23.5,688.6,1719
8932,2019-07-17T00:20:14+02:00,271,0,12.5,20.3,4,23.5,,1755
8933,2019-07-17T00:20:15+02:00,271,0,12.6,20.3,4,23.5,688.6,1761
8934,2019-07-17T00:20:16+02:00,270,,12.6,,4,23.5,688.6,1703
8935,2019-07-17T00:20:17+02:00,270,0,12.7,20.3,4,23.5,688.6,1714
8936,2019-07-17T00:20:18+02:00,271,0,,20.3,4,23.5,688.6,1739
8937,2019-07-17T00:20:19+02:00,270,0,12.8,20.3,4,23.5,688.6,1734
8938,2019-07-17T00:20:20+02:00,270,0,12.8,20.3,4,23.5,676.8,1760
8939,2019-07-17T00:20:21+02:00,270,0,12.9,20.3,4,23.5,,1753
8940,2019-07-17T00:20:22+02:00,270,0,13,20.3,4,23.5,676.8,1743
8941,2019-07-17T00:20:23+02:00,270,0,13.1,,4,23.5,676.8,1735
8942,2019-07-17T00:20:24+02:00,270,,13.2,20.3,4,23.5,676.8,1752
8943,2019-07-17T00:20:25+02:00,270,0,,20.3,4,23.5,676.8,1757
8944,2019-07-17T00:20:26+02:00,,0,13.3,20.3,4,23.38,676.8,1731
8945,2019-07-17T00:20:27+02:00,270,0,13.4,20.3,4,23.38,676.8,1752
8946,2019-07-17T00:20:28+02:00,271,0,13.5,20.3,4,23.38,676.8,1759
8947,2019-07-17T00:20:29+02:00,270,0,13.6,20.3,4,23.38,,1799
8948,2019-07-17T00:20:30+02:00,270,0,13.6,20.4,4,23.5,676.8,1786
8949,2019-07-17T00:20:31+02:00,270,,13.7,,4,23.5,676.8,1782
8950,2019-07-17T00:20:32+02:00,270,0,13.8,20.4,4,23.5,676.8,1742
8951,2019-07-17T00:20:33+02:00,270,0,,20.4,4,23.5,676.8,1756
8952,2019-07-17T00:20:34+02:00,269,0,13.9,20.4,4,23.5,676.8,1733
8953,2019-07-17T00:20:35+02:00,269,0,13.9,20.4,4,23.5,676.8,1746
8954,2019-07-17T00:20:36+02:00,270,0,14.1,20.4,4,23.5,,1770
8955,2019-07-17T00:20:37+02:00,269,0,14.1,20.4,4,23.5,676.8,1665
8956,2019-07-17T00:20:38+02:00,269,,14.2,,4,23.5,676.8,1676
8957,2019-07-17T00:20:39+02:00,270,0,14.3,20.3,4,23.5,676.8,1683
8958,2019-07-17T00:20:40+02:00,269,0,14.4,20.3,4,23.5,676.8,1668
8959,2019-07-17T00:20:41+02:00,270,0,,20.3,4,23.5,676.8,1771
8960,2019-07-17T00:20:42+02:00,269,0,14.5,20.4,4,23.5,676.8,1727
8961,2019-07-17T00:20:43+02:00,270,0,14.6,20.4,4,23.5,676.8,1740
8962,2019-07-17T00:20:44+02:00,269,0,14.7,20.4,4,23.5,,1700
8963,2019-07-17T00:20:45+02:00,269,0,14.8,20.4,4,23.5,688.6,1723
8964,2019-07-17T00:20:46+02:00,269,,14.8,,4,23.5,688.6,1763
8965,2019-07-17T00:20:47+02:00,269,0,14.9,20.4,4,23.5,688.6,1739
8966,2019-07-17T00:20:48+02:00,270,0,,20.4,4,23.5,688.6,
